x,y
390,188
273,196
316,188
170,257
178,274
189,286
204,296
220,300
238,301
255,298
272,289
330,245
346,245
389,206
259,189
316,206
360,245
376,245
470,188
477,199
465,199
481,211
460,211
485,223
456,223
489,234
452,234
493,245
448,245
496,257
443,257
456,263
470,263
485,263
500,268
440,268
390,225
243,185
316,225
504,280
435,280
508,291
431,291
513,303
427,303
622,213
622,226
616,238
606,247
593,251
580,251
566,251
870,188
870,251
883,188
884,251
896,188
897,251
909,192
910,247
920,201
920,238
926,213
926,226
906,260
911,270
552,213
552,226
916,280
921,291
926,302
552,238
552,251
552,264
552,277
552,289
552,302
566,188
579,188
592,188
605,192
616,201
552,200
552,188
678,269
678,280
678,292
678,303
748,200
748,212
748,224
748,235
748,247
748,258
748,269
748,280
748,292
857,200
857,212
857,224
857,235
857,247
857,258
857,269
857,280
857,292
667,188
678,188
689,188
700,188
711,188
678,200
678,212
678,224
678,235
678,247
678,258
656,188
645,188
772,188
785,188
797,188
810,188
748,302
760,302
772,302
785,302
797,302
810,302
857,188
857,302
760,242
772,242
785,242
797,242
760,188
748,188
1036,201
1043,191
1054,186
1065,187
390,245
225,185
316,245
1075,193
1081,203
1081,214
1076,225
1067,233
1056,237
1077,241
1087,248
1093,260
1094,272
390,262
209,188
316,262
1092,283
1085,293
1076,300
1065,304
1054,304
1043,302
1033,296
1025,288
390,279
193,196
316,279
390,297
180,207
316,297
172,223
168,240
