x,y
124,181
213,144
226,144
239,144
124,109
137,109
149,109
124,121
124,133
124,145
124,157
124,169
111,109
99,109
902,239
898,248
899,258
903,267
910,274
918,280
927,284
936,289
945,294
954,299
324,180
335,180
346,180
324,109
335,109
346,109
324,144
335,144
346,144
200,130
200,140
200,150
200,160
200,170
200,180
251,110
251,120
251,130
251,140
251,150
251,160
251,170
251,180
313,109
313,119
313,129
313,140
313,150
313,160
313,170
313,180
200,120
200,110
962,306
965,316
958,336
964,327
949,343
940,346
929,347
918,345
908,342
898,338
99,288
99,299
99,310
99,321
99,332
99,343
99,354
109,244
109,255
109,266
119,233
109,277
109,288
109,299
109,310
109,321
109,332
109,343
109,354
157,233
118,292
127,292
136,292
145,292
128,233
154,292
494,229
494,240
494,251
494,262
494,273
494,284
494,295
494,306
494,317
494,328
494,339
494,350
504,229
504,240
504,251
504,262
504,273
504,284
504,295
504,306
504,317
504,328
504,339
504,350
515,229
526,229
537,229
547,232
555,238
560,246
563,254
563,263
137,233
559,272
552,280
543,286
707,226
707,237
707,248
707,259
707,270
707,281
707,292
707,303
707,314
707,325
707,336
707,347
717,226
717,237
717,248
717,259
717,270
717,281
717,292
717,303
717,314
717,325
717,336
717,347
533,289
539,298
523,290
513,290
546,306
552,314
147,233
557,322
562,330
567,339
572,347
729,226
741,226
753,226
764,226
726,285
738,285
750,285
761,285
729,347
741,347
753,347
764,347
99,244
99,255
1089,224
1100,224
1113,224
1125,224
1135,224
1146,224
1157,224
1169,224
1125,235
1135,235
1125,246
1135,246
1125,257
1135,257
1125,268
1135,268
1125,279
1135,279
1125,290
1135,290
1125,301
1135,301
x99,255
1125,312
1135,312
1125,323
1135,323
1125,334
1135,334
1125,345
1135,345
99,266
99,277
109,233
99,233
961,229
951,225
940,223
930,224
920,226
910,231
