x,y
764,347
504,240
335,144
124,181
1125,224
707,325
726,285
1125,290
1125,323
494,317
1125,268
1146,224
546,306
109,244
251,110
346,109
137,109
109,288
526,229
707,281
494,284
707,259
707,347
515,229
717,347
109,343
239,144
753,347
918,345
567,339
707,314
504,350
1135,235
136,292
145,292
962,306
200,120
313,180
572,347
961,229
552,280
717,270
504,229
494,295
717,237
533,289
1135,279
109,310
346,180
1135,290
251,140
324,109
494,251
119,233
109,299
1113,224
927,284
965,316
717,248
717,292
1100,224
124,121
504,273
954,299
200,180
109,277
1135,345
1169,224
124,145
729,347
717,325
99,321
729,226
313,129
147,233
523,290
504,284
128,233
154,292
99,244
313,140
251,150
313,170
226,144
563,263
1135,246
559,272
547,232
109,233
707,292
99,332
899,258
109,255
707,303
127,292
929,347
1135,224
707,237
99,299
109,332
99,310
717,281
213,144
494,306
324,180
111,109
750,285
940,223
504,317
910,231
1125,257
251,120
903,267
930,224
738,285
513,290
251,170
945,294
99,343
717,336
1135,323
1125,279
313,160
1135,268
109,321
902,239
562,330
951,225
494,328
504,251
560,246
494,262
539,298
1125,246
99,255
99,266
200,160
99,354
910,274
99,277
504,328
1157,224
918,280
707,336
251,160
741,226
898,248
251,180
335,180
908,342
1135,312
761,285
940,346
124,169
124,109
251,130
543,286
494,339
109,266
707,270
124,133
555,238
99,233
949,343
200,110
1125,312
741,347
149,109
494,229
137,233
707,226
494,240
964,327
1135,257
557,322
936,289
494,350
1135,334
99,109
753,226
118,292
494,273
324,144
717,314
504,339
124,157
313,119
717,226
764,226
109,354
504,306
313,150
717,259
99,288
200,140
958,336
335,109
99,255
717,303
200,170
200,130
346,144
200,150
1125,334
898,338
504,295
157,233
504,262
313,109
537,229
552,314
563,254
1089,224
1125,345
1135,301
920,226
1125,301
707,248
1125,235
